pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,849.814042226288
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,856.5018585694268
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,842.5735898232618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,848.2870094596901
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,848.2870094596901
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,845.1204589333498
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,848.2870094596901
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,848.2870094596901
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,845.1204589333498
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,842.5735898232618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,842.5735898232618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,849.814042226288
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,846.8958453221277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,851.4942011428703
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,860.0481784564898
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,841.8668641939215
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.5735898232618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,842.5735898232618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,848.2870094596901
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,846.8958453221277
